SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
242,JK,Jammu and Kashmir,JK_Samba,Samba,2839,7,2792,40,0,0,0,0,0,,
243,JK,Jammu and Kashmir,JK_Shopiyan,Shopiyan,2603,23,2540,40,0,1,1,0,0,,
244,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,26900,340,26099,461,0,47,22,25,0,,
245,JK,Jammu and Kashmir,JK_Udhampur,Udhampur,4301,58,4186,57,0,23,19,4,0,,
270,KA,Karnataka,KA_Bagalkote,Bagalkote,13776,11,13629,136,0,0,0,0,0,,
271,KA,Karnataka,KA_Ballari,Ballari,39234,37,38600,597,0,0,0,0,0,,
272,KA,Karnataka,KA_Belagavi,Belagavi,26877,88,26447,342,0,0,0,0,0,,
274,KA,Karnataka,KA_Bengaluru Rural,Bengaluru Rural,18805,62,18583,160,0,0,0,0,0,,
273,KA,Karnataka,KA_Bengaluru Urban,Bengaluru Urban,404357,4379,395515,4462,1,0,0,0,0,,
275,KA,Karnataka,KA_Bidar,Bidar,7515,28,7311,172,4,0,0,0,0,,
276,KA,Karnataka,KA_Chamarajanagara,Chamarajanagara,6963,8,6824,120,11,0,0,0,0,,
277,KA,Karnataka,KA_Chikkaballapura,Chikkaballapura,13723,19,13586,117,1,0,0,0,0,,
278,KA,Karnataka,KA_Chikkamagaluru,Chikkamagaluru,14018,29,13850,139,0,0,0,0,0,,
279,KA,Karnataka,KA_Chitradurga,Chitradurga,14892,78,14745,69,0,0,0,0,0,,
280,KA,Karnataka,KA_Dakshina Kannada,Dakshina Kannada,34350,203,33407,738,2,0,0,0,0,,
281,KA,Karnataka,KA_Davanagere,Davanagere,22432,35,22133,264,0,0,0,0,0,,
282,KA,Karnataka,KA_Dharwad,Dharwad,22319,45,21657,617,0,0,0,0,0,,
283,KA,Karnataka,KA_Gadag,Gadag,11011,7,10863,141,0,0,0,0,0,,
284,KA,Karnataka,KA_Hassan,Hassan,28702,82,28225,395,0,0,0,0,0,,
285,KA,Karnataka,KA_Haveri,Haveri,11017,9,10818,190,0,0,0,0,0,,
286,KA,Karnataka,KA_Kalaburagi,Kalaburagi,21937,137,21471,329,0,0,0,0,0,,
287,KA,Karnataka,KA_Kodagu,Kodagu,6133,38,6022,73,0,0,0,0,0,,
288,KA,Karnataka,KA_Kolar,Kolar,10101,40,9884,177,0,0,0,0,0,,
289,KA,Karnataka,KA_Koppal,Koppal,13941,6,13656,279,0,0,0,0,0,,
290,KA,Karnataka,KA_Mandya,Mandya,19779,31,19597,151,0,0,0,0,0,,
291,KA,Karnataka,KA_Mysuru,Mysuru,53992,177,52785,1030,0,0,0,0,0,,
0,KA,Karnataka,KA_Other State,Other State,36,0,33,3,0,0,0,0,0,,
292,KA,Karnataka,KA_Raichur,Raichur,14297,12,14127,158,0,0,0,0,0,,
293,KA,Karnataka,KA_Ramanagara,Ramanagara,7430,8,7345,77,0,0,0,0,0,,
294,KA,Karnataka,KA_Shivamogga,Shivamogga,22478,69,22060,349,0,0,0,0,0,,
295,KA,Karnataka,KA_Tumakuru,Tumakuru,25618,290,24938,390,0,0,0,0,0,,
296,KA,Karnataka,KA_Udupi,Udupi,23557,62,23306,189,0,0,0,0,0,,
297,KA,Karnataka,KA_Uttara Kannada,Uttara Kannada,14690,32,14480,178,0,0,0,0,0,,
298,KA,Karnataka,KA_Vijayapura,Vijayapura,14517,45,14266,206,0,0,0,0,0,,
299,KA,Karnataka,KA_Yadgir,Yadgir,10686,10,10615,61,0,0,0,0,0,,
0,KL,Kerala,KL_Other State,Other State,0,0,0,0,0,0,0,0,0,,
300,KL,Kerala,KL_Alappuzha,Alappuzha,77082,3344,73366,348,24,0,0,0,0,,
301,KL,Kerala,KL_Ernakulam,Ernakulam,122286,8958,112880,422,26,0,0,0,0,,
302,KL,Kerala,KL_Idukki,Idukki,26825,2258,24525,37,5,0,0,0,0,,
303,KL,Kerala,KL_Kannur,Kannur,52656,2957,49392,278,29,0,0,0,0,,
304,KL,Kerala,KL_Kasaragod,Kasaragod,28766,2156,26506,96,8,0,0,0,0,,
305,KL,Kerala,KL_Kollam,Kollam,85499,4646,80535,297,21,0,0,0,0,,
306,KL,Kerala,KL_Kottayam,Kottayam,78093,4137,73753,195,8,0,0,0,0,,
307,KL,Kerala,KL_Kozhikode,Kozhikode,117856,3988,113403,442,23,0,0,0,0,,
308,KL,Kerala,KL_Malappuram,Malappuram,116293,2582,113282,412,17,0,0,0,0,,
309,KL,Kerala,KL_Palakkad,Palakkad,58998,2994,55820,174,10,0,0,0,0,,
310,KL,Kerala,KL_Pathanamthitta,Pathanamthitta,55391,5931,49346,106,8,0,0,0,0,,
311,KL,Kerala,KL_Thiruvananthapuram,Thiruvananthapuram,101470,3140,97425,816,89,0,0,0,0,,
312,KL,Kerala,KL_Thrissur,Thrissur,97334,3959,92931,428,16,0,0,0,0,,
313,KL,Kerala,KL_Wayanad,Wayanad,26461,1815,24556,86,4,0,0,0,0,,
314,LA,Ladakh,LA_Kargil,Kargil,2132,20,2068,44,0,0,0,0,0,,
315,LA,Ladakh,LA_Leh,Leh,7675,33,7556,86,0,0,0,0,0,,
316,LD,Lakshadweep,LD_Lakshadweep,Lakshadweep,308,97,208,0,3,0,0,0,0,,
369,MH,Maharashtra,MH_Ahmednagar,Ahmednagar,74535,1132,72274,1128,1,0,0,0,0,,
370,MH,Maharashtra,MH_Akola,Akola,14509,2298,11832,375,4,0,0,0,0,,
371,MH,Maharashtra,MH_Amravati,Amravati,32866,6178,26241,445,2,0,0,0,0,,
372,MH,Maharashtra,MH_Aurangabad,Aurangabad,51525,1559,48692,1260,14,0,0,0,0,,
374,MH,Maharashtra,MH_Beed,Beed,18905,457,17882,560,6,0,0,0,0,,
373,MH,Maharashtra,MH_Bhandara,Bhandara,13840,246,13280,313,1,0,0,0,0,,
375,MH,Maharashtra,MH_Buldhana,Buldhana,17076,1699,15114,258,5,0,0,0,0,,
376,MH,Maharashtra,MH_Chandrapur,Chandrapur,24611,391,23806,412,2,0,0,0,0,,
377,MH,Maharashtra,MH_Dhule,Dhule,16719,371,16009,337,2,0,0,0,0,,
378,MH,Maharashtra,MH_Gadchiroli,Gadchiroli,8960,84,8769,99,8,0,0,0,0,,
379,MH,Maharashtra,MH_Gondia,Gondia,14520,69,14272,173,6,0,0,0,0,,
380,MH,Maharashtra,MH_Hingoli,Hingoli,4642,225,4317,100,0,0,0,0,0,,
381,MH,Maharashtra,MH_Jalgaon,Jalgaon,59777,1749,56506,1502,20,0,0,0,0,,
382,MH,Maharashtra,MH_Jalna,Jalna,14275,366,13538,370,1,0,0,0,0,,
383,MH,Maharashtra,MH_Kolhapur,Kolhapur,49557,226,47653,1675,3,0,0,0,0,,
384,MH,Maharashtra,MH_Latur,Latur,25359,532,24120,703,4,0,0,0,0,,
385,MH,Maharashtra,MH_Mumbai,Mumbai,321699,6900,302473,11458,868,0,0,0,0,"[Sep 9]After reconciling COVID-19 cases in Mumbai, owing to the removal of duplicates and change of addresses as per the original residence, 239 cases have been removed from the progressive figures.",
386,MH,Maharashtra,MH_Mumbai Suburban,Mumbai Suburban,0,0,0,0,0,0,0,0,0,,
387,MH,Maharashtra,MH_Nagpur,Nagpur,147321,7851,135938,3494,38,0,0,0,0,District administration provides number of persons tested instead of the number of samples tested.,
388,MH,Maharashtra,MH_Nanded,Nanded,23042,555,21800,682,5,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
389,MH,Maharashtra,MH_Nandurbar,Nandurbar,10185,264,9700,220,1,0,0,0,0,,
390,MH,Maharashtra,MH_Nashik,Nashik,126221,1765,122415,2040,1,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
391,MH,Maharashtra,MH_Osmanabad,Osmanabad,17905,288,17039,562,16,0,0,0,0,,
0,MH,Maharashtra,MH_Other State,Other State,146,58,0,86,2,0,0,0,0,,
392,MH,Maharashtra,MH_Palghar,Palghar,48748,387,47412,939,10,0,0,0,0,,
393,MH,Maharashtra,MH_Parbhani,Parbhani,8399,465,7626,297,11,0,0,0,0,,
394,MH,Maharashtra,MH_Pune,Pune,403782,10427,385262,8044,49,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
395,MH,Maharashtra,MH_Raigad,Raigad,70290,823,67868,1597,2,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
396,MH,Maharashtra,MH_Ratnagiri,Ratnagiri,12042,246,11375,419,2,0,0,0,0,,
397,MH,Maharashtra,MH_Sangli,Sangli,51252,496,48963,1791,2,0,0,0,0,,
398,MH,Maharashtra,MH_Satara,Satara,58246,993,55405,1839,9,0,0,0,0,,
399,MH,Maharashtra,MH_Sindhudurg,Sindhudurg,6585,200,6208,177,0,0,0,0,0,,
400,MH,Maharashtra,MH_Solapur,Solapur,57543,816,54839,1839,49,0,0,0,0,,
401,MH,Maharashtra,MH_Thane,Thane,277580,6552,265202,5795,31,0,0,0,0,,
402,MH,Maharashtra,MH_Wardha,Wardha,12468,724,11417,308,19,0,0,0,0,,
403,MH,Maharashtra,MH_Washim,Washim,8423,865,7393,162,3,0,0,0,0,,
404,MH,Maharashtra,MH_Yavatmal,Yavatmal,17566,1101,15983,478,4,0,0,0,0,,
421,ML,Meghalaya,ML_East Garo Hills,East Garo Hills,339,0,338,1,0,0,0,0,0,,
422,ML,Meghalaya,ML_East Jaintia Hills,East Jaintia Hills,551,2,549,0,0,0,0,0,0,,
423,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,8674,14,8538,122,0,0,0,0,0,,
424,ML,Meghalaya,ML_North Garo Hills,North Garo Hills,120,0,118,2,0,0,0,0,0,,
425,ML,Meghalaya,ML_Ribhoi,Ribhoi,1382,0,1380,2,0,0,0,0,0,,
426,ML,Meghalaya,ML_South Garo Hills,South Garo Hills,198,0,198,0,0,0,0,0,0,,
427,ML,Meghalaya,ML_South West Garo Hills,South West Garo Hills,200,1,197,2,0,0,0,0,0,,
428,ML,Meghalaya,ML_South West Khasi Hills,South West Khasi Hills,57,0,57,0,0,0,0,0,0,,
429,ML,Meghalaya,ML_West Garo Hills,West Garo Hills,1715,0,1698,17,0,0,0,0,0,,
430,ML,Meghalaya,ML_West Jaintia Hills,West Jaintia Hills,542,0,541,1,0,0,0,0,0,,
431,ML,Meghalaya,ML_West Khasi Hills,West Khasi Hills,180,1,178,1,0,0,0,0,0,,
0,MN,Manipur,MN_CAPF Personnel,CAPF Personnel,2660,1257,1401,2,0,0,0,0,0,,
405,MN,Manipur,MN_Bishnupur,Bishnupur,1331,1249,58,24,0,0,0,0,0,,
406,MN,Manipur,MN_Chandel,Chandel,379,366,4,9,0,0,0,0,0,,
407,MN,Manipur,MN_Churachandpur,Churachandpur,1519,1433,58,28,0,0,0,0,0,,
408,MN,Manipur,MN_Imphal East,Imphal East,5686,5459,150,77,0,0,0,0,0,,
409,MN,Manipur,MN_Imphal West,Imphal West,8880,8726,52,102,0,3,3,0,0,,
410,MN,Manipur,MN_Jiribam,Jiribam,266,264,2,0,0,0,0,0,0,,
411,MN,Manipur,MN_Kakching,Kakching,820,785,27,8,0,0,0,0,0,,
412,MN,Manipur,MN_Kamjong,Kamjong,252,235,17,0,0,0,0,0,0,,
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,622,593,19,10,0,0,0,0,0,,
414,MN,Manipur,MN_Noney,Noney,330,311,18,1,0,0,0,0,0,,
415,MN,Manipur,MN_Pherzawl,Pherzawl,37,22,15,0,0,0,0,0,0,,
416,MN,Manipur,MN_Senapati,Senapati,500,478,21,1,0,0,0,0,0,,
417,MN,Manipur,MN_Tamenglong,Tamenglong,1395,1357,32,6,0,0,0,0,0,,
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,286,272,13,1,0,0,0,0,0,,
419,MN,Manipur,MN_Thoubal,Thoubal,2340,2277,23,40,0,0,0,0,0,,
420,MN,Manipur,MN_Ukhrul,Ukhrul,538,517,18,3,0,0,0,0,0,,
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,669,6,653,10,0,0,0,0,0,,
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,1301,2,1283,16,0,0,0,0,0,,
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,2114,8,2091,15,0,0,0,0,0,,
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,1138,3,1118,17,0,0,0,0,0,,
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,3203,15,3174,14,0,0,0,0,0,,
322,MP,Madhya Pradesh,MP_Barwani,Barwani,2982,23,2928,31,0,0,0,0,0,,
323,MP,Madhya Pradesh,MP_Betul,Betul,3728,69,3583,76,0,0,0,0,0,,
324,MP,Madhya Pradesh,MP_Bhind,Bhind,1506,0,1496,10,0,0,0,0,0,,
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,43803,496,42689,618,0,0,0,0,0,,
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,899,24,848,27,0,0,0,0,0,,
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,2111,1,2078,32,0,0,0,0,0,,
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,2960,63,2850,47,0,0,0,0,0,,
329,MP,Madhya Pradesh,MP_Damoh,Damoh,2859,53,2713,93,0,0,0,0,0,,
330,MP,Madhya Pradesh,MP_Datia,Datia,1914,3,1891,20,0,0,0,0,0,,
331,MP,Madhya Pradesh,MP_Dewas,Dewas,2974,3,2944,27,0,0,0,0,0,,
332,MP,Madhya Pradesh,MP_Dhar,Dhar,4154,2,4094,58,0,0,0,0,0,,
333,MP,Madhya Pradesh,MP_Dindori,Dindori,1037,14,1022,1,0,0,0,0,0,,
335,MP,Madhya Pradesh,MP_Guna,Guna,1561,5,1530,26,0,0,0,0,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,16507,27,16250,230,0,0,0,0,0,,
337,MP,Madhya Pradesh,MP_Harda,Harda,2155,9,2110,36,0,0,0,0,0,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,3897,9,3827,61,0,0,0,0,0,,
339,MP,Madhya Pradesh,MP_Indore,Indore,59101,740,57430,931,0,0,0,0,0,,
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,16576,119,16205,252,0,0,0,0,0,,
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,2591,23,2541,27,0,0,0,0,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,2279,2,2257,20,0,0,0,0,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,2373,17,2293,63,0,0,0,0,0,,
368,MP,Madhya Pradesh,MP_Khargone,Khargone,5501,48,5344,109,0,0,0,0,0,,
343,MP,Madhya Pradesh,MP_Mandla,Mandla,1226,3,1213,10,0,0,0,0,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,2869,13,2820,36,0,0,0,0,0,,
345,MP,Madhya Pradesh,MP_Morena,Morena,3237,2,3206,29,0,0,0,0,0,,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,3544,13,3501,30,0,0,0,0,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,3058,14,3007,37,0,0,0,0,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,685,0,682,3,0,0,0,0,0,,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,0,0,0,0,0,0,0,0,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,1137,4,1129,4,0,0,0,0,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,2489,9,2434,46,0,0,0,0,0,,
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,2475,40,2365,70,0,0,0,0,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,4784,67,4635,82,0,0,0,0,0,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,4160,29,4096,35,0,0,0,0,0,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,5516,38,5327,151,0,0,0,0,0,,
355,MP,Madhya Pradesh,MP_Satna,Satna,3505,7,3456,42,0,0,0,0,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,2832,23,2761,48,0,0,0,0,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,1599,8,1581,10,0,0,0,0,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,2990,16,2944,30,0,0,0,0,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,1805,11,1772,22,0,0,0,0,0,,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,1521,23,1482,16,0,0,0,0,0,,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,3650,3,3617,30,0,0,0,0,0,,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,2082,42,2027,13,0,0,0,0,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,1956,36,1894,26,0,0,0,0,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,1316,5,1284,27,0,0,0,0,0,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,5041,63,4874,104,0,0,0,0,0,,
366,MP,Madhya Pradesh,MP_Umaria,Umaria,1320,3,1299,18,0,0,0,0,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,3623,14,3538,71,0,0,0,0,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,2890,8,2873,9,0,0,0,0,0,,
433,MZ,Mizoram,MZ_Champhai,Champhai,99,4,95,0,0,0,-1,1,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,20,0,20,0,0,0,0,0,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,23,0,23,0,0,0,0,0,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,295,0,295,0,0,0,0,0,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,340,6,334,0,0,0,-1,1,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,418,2,416,0,0,0,0,0,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,82,0,82,0,0,0,0,0,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,36,0,36,0,0,0,0,0,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,30,1,29,0,0,0,0,0,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,180,0,179,1,0,0,0,0,0,,
0,NL,Nagaland,NL_Others,Others,0,0,0,0,0,0,0,0,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,6478,2,6339,62,75,1,0,1,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,41,0,40,1,0,0,0,0,0,,
442,NL,Nagaland,NL_Kohima,Kohima,3879,10,3803,21,45,5,5,0,0,,
443,NL,Nagaland,NL_Longleng,Longleng,19,0,10,0,9,0,0,0,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,193,0,183,3,7,0,0,0,0,,
445,NL,Nagaland,NL_Mon,Mon,605,0,594,2,9,0,0,0,0,,
446,NL,Nagaland,NL_Peren,Peren,507,0,506,0,1,0,0,0,0,,
447,NL,Nagaland,NL_Phek,Phek,47,0,47,0,0,0,0,0,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,248,0,246,1,1,0,0,0,0,,
449,NL,Nagaland,NL_Wokha,Wokha,39,1,35,1,2,0,0,0,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,142,0,139,0,3,0,0,0,0,,
0,OR,Odisha,OR_State Pool,State Pool,8413,17,8396,0,0,1,1,0,0,,
0,OR,Odisha,OR_Others,Others,0,0,0,0,0,0,0,0,0,,
451,OR,Odisha,OR_Angul,Angul,11455,15,11403,37,0,2,2,0,0,,
452,OR,Odisha,OR_Balangir,Balangir,8832,16,8774,42,0,6,5,0,1,,
453,OR,Odisha,OR_Balasore,Balasore,12380,38,12241,101,0,9,9,0,0,,
454,OR,Odisha,OR_Bargarh,Bargarh,10654,48,10564,42,0,6,6,0,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,7495,17,7449,29,0,0,0,0,0,,
455,OR,Odisha,OR_Boudh,Boudh,2820,7,2802,11,0,1,1,0,0,,
457,OR,Odisha,OR_Cuttack,Cuttack,29143,29,28968,146,0,4,4,0,0,,
458,OR,Odisha,OR_Deogarh,Deogarh,1364,18,1341,5,0,4,4,0,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,5713,0,5684,29,0,0,0,0,0,,
460,OR,Odisha,OR_Gajapati,Gajapati,4074,2,4039,33,0,0,0,0,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,21893,2,21635,256,0,0,0,0,0,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,9160,3,9119,38,0,0,0,0,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,12283,34,12223,26,0,5,5,0,0,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,7863,39,7798,26,0,4,4,0,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,6391,10,6349,32,0,1,1,0,0,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,5947,0,5914,33,0,0,0,0,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,9149,3,9117,29,0,1,1,0,0,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,8029,3,7988,38,0,0,0,0,0,,
469,OR,Odisha,OR_Khordha,Khordha,53182,32,52803,347,0,9,9,0,0,,
470,OR,Odisha,OR_Koraput,Koraput,7893,9,7868,16,0,0,0,0,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,5245,2,5215,28,0,1,1,0,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,14172,20,14059,93,0,3,3,0,0,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,5830,2,5812,16,0,1,1,0,0,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,6483,1,6435,47,0,0,0,0,0,,
475,OR,Odisha,OR_Nuapada,Nuapada,7631,18,7586,27,0,0,0,0,0,,
476,OR,Odisha,OR_Puri,Puri,14453,37,14296,120,0,4,4,0,0,,
477,OR,Odisha,OR_Rayagada,Rayagada,8450,7,8398,45,0,0,0,0,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,10019,90,9851,78,0,14,14,0,0,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,4781,15,4745,21,0,5,5,0,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,15727,89,15461,177,0,8,8,0,0,,
485,PB,Punjab,PB_Amritsar,Amritsar,15536,341,14603,592,0,0,0,0,0,,
486,PB,Punjab,PB_Barnala,Barnala,2354,27,2260,67,0,0,0,0,0,,
487,PB,Punjab,PB_Bathinda,Bathinda,9688,66,9393,229,0,0,0,0,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,4131,36,4012,83,0,0,0,0,0,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,2703,37,2553,113,0,0,0,0,0,,
490,PB,Punjab,PB_Fazilka,Fazilka,3932,7,3852,73,0,0,0,0,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,4624,22,4451,151,0,0,0,0,0,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,8377,80,8016,281,0,0,0,0,0,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,8533,244,7928,361,0,0,0,0,0,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,21388,402,20286,700,0,0,0,0,0,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,5331,205,4916,210,0,0,0,0,0,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,26861,498,25340,1023,0,0,0,0,0,,
497,PB,Punjab,PB_Mansa,Mansa,2494,9,2431,54,0,0,0,0,0,,
498,PB,Punjab,PB_Moga,Moga,2870,50,2725,95,0,0,0,0,0,,
499,PB,Punjab,PB_Pathankot,Pathankot,5908,30,5714,164,0,0,0,0,0,,
500,PB,Punjab,PB_Patiala,Patiala,16900,296,16096,508,0,0,0,0,0,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,3656,77,3404,175,0,0,0,0,0,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,20088,471,19234,383,0,0,0,0,0,,
503,PB,Punjab,PB_Sangrur,Sangrur,4530,39,4283,208,0,0,0,0,0,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,3775,597,3071,107,0,0,0,0,0,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,3920,22,3800,98,0,0,0,0,0,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,2220,42,2067,111,0,0,0,0,0,,
481,PY,Puducherry,PY_Karaikal,Karaikal,3977,25,3885,67,0,0,0,0,0,"2 case of TN has been transferred,so has been reduced from the total count.",
482,PY,Puducherry,PY_Mahe,Mahe,2195,58,2127,10,0,0,0,0,0,"1 case of KL have been transferred,so have been reduced from the total count",
483,PY,Puducherry,PY_Puducherry,Puducherry,31363,105,30714,544,0,0,0,0,0,"209 cases(204 of TN, 1 of AP and 4 other) have been transferred,so have been reduced from the total count.[July 18]4 cases have transferred to TN and have been reduced from recovered cases.",
484,PY,Puducherry,PY_Yanam,Yanam,2121,1,2075,45,0,0,0,0,0,"2 cases of AP have been transferred,so have been reduced from the total count",
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,17164,47,16895,222,0,7,7,0,0,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,21837,14,21745,78,0,5,-3,8,0,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,2375,46,2295,34,0,6,5,1,0,,
510,RJ,Rajasthan,RJ_Baran,Baran,2651,14,2601,36,0,0,0,0,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,5061,11,4997,53,0,1,0,1,0,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,9107,15,8972,120,0,8,8,0,0,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,10402,61,10301,40,0,2,-9,11,0,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,19068,10,18891,167,0,5,5,0,0,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,85,0,85,0,0,0,0,0,0,,
515,RJ,Rajasthan,RJ_Bundi,Bundi,3074,13,3042,19,0,1,1,0,0,,
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,4011,26,3944,41,0,0,0,0,0,,
517,RJ,Rajasthan,RJ_Churu,Churu,4377,0,4336,41,0,0,0,0,0,,
518,RJ,Rajasthan,RJ_Dausa,Dausa,2433,2,2407,24,0,0,0,0,0,,
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,3773,7,3737,29,0,2,2,0,0,,
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,5053,54,4965,34,0,11,3,8,0,,
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,61,0,61,0,0,0,0,0,0,,
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,6787,16,6729,42,0,0,0,0,0,,
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,2976,0,2964,12,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Italians,Italians,2,0,2,0,0,0,0,0,0,,
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,59458,298,58642,518,0,29,3,26,0,,
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,2251,7,2219,25,0,0,-4,4,0,,
525,RJ,Rajasthan,RJ_Jalore,Jalore,5613,2,5559,52,0,1,1,0,0,,
